Region,MonthDate,HPIndex
Greater London,31/10/1984,69.3353
Greater London,31/01/1985,72.9201
Greater London,30/04/1985,75.1584
Greater London,31/07/1985,77.7063
Greater London,31/10/1985,81.8312
Greater London,31/01/1986,84.9717
Greater London,30/04/1986,88.2522
Greater London,31/07/1986,94.762
Greater London,31/10/1986,102.3563
Greater London,31/01/1987,108.9588
Greater London,30/04/1987,115.8998
Greater London,31/07/1987,122.2582
Greater London,31/10/1987,122.4676
Greater London,31/01/1988,124.4737
Greater London,30/04/1988,130.2948
Greater London,31/07/1988,139.0431
Greater London,31/10/1988,142.2282
Greater London,31/01/1989,143.9621
Greater London,30/04/1989,144.9137
Greater London,31/07/1989,142.5737
Greater London,31/10/1989,140.6629
Greater London,31/01/1990,137.0666
Greater London,30/04/1990,128.9192
Greater London,31/07/1990,122.4438
Greater London,31/10/1990,117.0898
Greater London,31/01/1991,116.2187
Greater London,30/04/1991,115.3024
Greater London,31/07/1991,115.5073
Greater London,31/10/1991,113.2127
Greater London,31/01/1992,110.0887
Greater London,30/04/1992,108.1128
Greater London,31/07/1992,105.4599
Greater London,31/10/1992,100.1016
Greater London,31/01/1993,100.881
Greater London,30/04/1993,101.3266
Greater London,31/07/1993,101.1111
Greater London,31/10/1993,101.9871
Greater London,31/01/1994,104.381
Greater London,30/04/1994,103.0753
Greater London,31/07/1994,102.1158
Greater London,31/10/1994,105.5459
Greater London,31/01/1995,103.8145
Greater London,30/04/1995,108.5157
Greater London,31/07/1995,109.7426
Greater London,31/10/1995,111.6069
Greater London,31/01/1996,106.4056
Greater London,30/04/1996,112.479
Greater London,31/07/1996,115.786
Greater London,31/10/1996,120.9447
Greater London,31/01/1997,128.3142
Greater London,30/04/1997,132.1992
Greater London,31/07/1997,142.291
Greater London,31/10/1997,141.2841
Greater London,31/01/1998,147.8353
Greater London,30/04/1998,152.7915
Greater London,31/07/1998,158.3814
Greater London,31/10/1998,161.3227
Greater London,31/01/1999,167.6591
Greater London,30/04/1999,172.2775
Greater London,31/07/1999,182.176
Greater London,31/10/1999,196.0399
Greater London,31/01/2000,210.3017
Greater London,30/04/2000,216.1043
Greater London,31/07/2000,214.6485
Greater London,31/10/2000,221.7232
Greater London,31/01/2001,221.9157
Greater London,30/04/2001,238.3495
Greater London,31/07/2001,246.2361
Greater London,31/10/2001,253.2154
Greater London,31/01/2002,257.4664
Greater London,30/04/2002,273.7548
Greater London,31/07/2002,294.0206
Greater London,31/10/2002,307.1196
Greater London,31/01/2003,317.9184
Greater London,30/04/2003,313.8376
Greater London,31/07/2003,317.7054
Greater London,31/10/2003,328.8125
Greater London,31/01/2004,338.1618
Greater London,30/04/2004,347.1865
Greater London,31/07/2004,353.6164
Greater London,31/10/2004,353.3859
Greater London,31/01/2005,351.496
Greater London,30/04/2005,359.6039
Greater London,31/07/2005,359.1474
Greater London,31/10/2005,361.83
Greater London,31/01/2006,369.9071
Greater London,30/04/2006,376.4859
Greater London,31/07/2006,385.2444
Greater London,31/10/2006,402.8924
Greater London,31/01/2007,423.4037
